"","depth","upper_age","lower_age","Lycopodium...4","Lycopodium...5","Monolete psilate","Polypodium","Ophioglossum","Allantodia","Cyathea","Aspleniaceae","Asplenium","Cyclosorus","Selaginella","Gleicheniaceae","Trilete","Hymenophyllaceae","Pteris","Adiantum","Spore 47","Athyriaceae","Blechnum","Davalliaceae","Sinopteridaceae","Pleuromanes","Arcella discoides","Lophosoria","Hypolepis","Spore 32","Pityrogramma","Histrichosphaeridae","Jamesonia","Spore 54","Sporormiella","Isoetes","Cyperaceae","Myriophyllum","Alismataceae","Acalypha","Alchornea","Alnus","Amaranthaceae","Ambrosia","Anacardiaceae","Asteraceae 1","Caryophyllaceae","Celtis","Cecropia","Clethra","Ericaceae","Hedyosmum","Melast/Combret","Meliaceae/Bruniaceae","Morac/Urtica","Myrica/Morella","Myrsine","Plantago","Poaceae","Podocarpus","Polylepis","Solanaceae","Symplocos","Thalictrum","Trema","Weinmannia","Valeriana","Vallea","Zea mays","Apiaceae","Eryngium (Apiaceae)","Psyllocarpus/Micrandra?","Fabaceae © cf Cercidium","Licania","Virola","Aechmea","cf Panopsis (Proteaceae)","Rubiaceae (cf Uncaria)","cf Sapium","cf Matayba (Sapind)","Rubiaceae (cf Hoffmannia)","Aralia","Juglandaceae","Mutisia (Astera)","Tricolp. 8 (Poma)","Pera (Euphorb)","Gunnera","Borreria (Rub)","Gonocalyx (Ericaceae)","Asteraceae (lig)","Pagamea (Rub)","Paullinia (Sapind)","Malanea (Rub)","Loranthaceae","Dodonaea (Sapind.)","Brassicaceae","cf Rubiaceae","Lamiaceae","cf Rhamnaceae","Fagara (Rubiaceae)","Alseis","Alchornea Type 2","cf Sapindaceae","Alternanthera","Rumex","Portulaceae","Polygalaceae","Fabaceae (P) rectangular/ Dalea","cf Sabicea (Rubiaceae)","Bocconia","Dendropanax (Araliaceae)","Carapa (Meliaceae)","Sapotaceae","Fab.syncolpate","Tricolp. 10 (Poma)","Begoniaceae","Apocynaceae","Bignoniaceae","Tovomotopsis","Piper","Uncaria 2","Fabaceae (M)","Inaperturate cf Bromel/Aracec","Ephedra","Myrtaceae","Schefflera (Araliaceae)","cf. Pandanaceae Freycinetia","Mimosa","Arecaceae","Bromeliaceae (Puya)","Philodendron","Anthurum","Cupressaceae","Nymphaeaceae","Boraginaceae","Bursera?","Podocarpus fininho","Froesiodendron","Ulmaceae","Saccate 1","Nyctaginaceae fig 3 plate 127","Poaceae >80 cm","Unknown"
"21","50",1445,1483,161,0,22,4,1,3,2,4,2,4,0,1,2,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,7,10,14,0,0,7,0,45,0,0,0,12,0,0,1,4,0,16,23,2,12,6,2,1,104,5,6,2,2,2,0,6,2,4,0,0,2,1,0,1,1,2,0,1,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","52.5",1483,1521,285,0,15,4,2,2,4,3,1,2,1,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,0,6,0,0,8,1,36,1,5,0,11,1,0,2,7,0,24,14,0,11,1,7,0,120,6,8,2,3,3,0,5,1,3,0,2,0,4,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","55",1521,1561,179,1,24,6,4,2,9,5,1,3,1,0,4,1,0,0,1,2,0,1,0,0,1,1,0,0,0,1,0,0,4,3,8,0,0,4,4,34,0,0,0,12,2,0,2,3,0,20,13,6,16,8,4,4,95,9,7,0,5,6,0,4,2,5,1,2,1,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","57.5",1561,1601,251,0,27,4,3,1,5,4,1,2,0,0,2,1,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,8,7,3,0,0,4,2,39,2,1,0,17,0,0,0,7,0,19,18,0,20,1,7,1,109,7,6,3,5,6,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,0,1,0,0,1,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","60",1601,1640,235,0,20,6,5,4,4,3,0,4,1,0,2,2,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,5,6,13,0,0,8,4,40,0,0,0,18,2,0,0,6,0,32,13,2,12,0,3,4,87,8,4,0,4,5,0,3,6,2,1,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","62.5",1640,1680,218,0,19,3,5,1,4,2,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,5,10,0,0,5,4,71,1,0,0,8,0,2,1,7,0,25,18,0,17,6,6,0,85,6,2,0,9,2,0,3,0,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","65",1680,1719,275,0,27,5,1,0,3,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6,9,0,0,7,3,56,1,0,0,11,0,0,0,2,0,24,21,0,10,1,4,0,100,4,12,1,5,5,0,4,2,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","67.5",1719,1758,201,1,28,2,1,1,6,3,0,0,1,2,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,3,7,12,0,0,4,2,50,0,0,0,12,0,0,1,5,0,31,19,2,16,6,2,2,88,12,0,4,2,1,0,4,2,2,1,0,0,0,0,0,0,2,0,3,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"29","70",1758,1797,246,0,26,4,2,3,3,2,1,1,0,0,3,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,12,9,0,0,9,2,34,0,0,2,14,2,0,1,7,0,33,18,0,23,0,2,1,97,9,8,3,5,1,0,4,3,2,1,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","72.5",1797,1836,223,0,21,2,0,1,4,2,3,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,9,5,0,0,7,2,51,1,0,1,11,1,0,0,1,0,37,11,0,9,1,5,1,109,9,15,0,2,4,0,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
