proxy,depth,upper_age,lower_age,age,variable,count
llaviucu_diatoms_counts,114,2358,2382,NA,Achnanthidium.minutissimum,171
llaviucu_diatoms_counts,115,2382,2405,NA,Achnanthidium.minutissimum,200
llaviucu_diatoms_counts,118,2450,2472,NA,Achnanthidium.minutissimum,170
llaviucu_diatoms_counts,120,2488,2509,NA,Achnanthidium.minutissimum,157
llaviucu_diatoms_counts,121,2509,2531,NA,Achnanthidium.minutissimum,105
llaviucu_diatoms_counts,123,2551,2572,NA,Achnanthidium.minutissimum,162
llaviucu_diatoms_counts,125,2586,2591,NA,Achnanthidium.minutissimum,185
llaviucu_diatoms_counts,128,2613,2616,NA,Achnanthidium.minutissimum,203
llaviucu_diatoms_counts,131,2649,2668,NA,Achnanthidium.minutissimum,212
llaviucu_diatoms_counts,133,2687,2705,NA,Achnanthidium.minutissimum,201
llaviucu_diatoms_counts,135,2707,2717,NA,Achnanthidium.minutissimum,142
llaviucu_diatoms_counts,137,2735,2752,NA,Achnanthidium.minutissimum,108
llaviucu_diatoms_counts,138,2752,2759,NA,Achnanthidium.minutissimum,159
llaviucu_diatoms_counts,140,2776,2793,NA,Achnanthidium.minutissimum,152
llaviucu_diatoms_counts,141,2793,2803,NA,Achnanthidium.minutissimum,133
llaviucu_diatoms_counts,143,2820,2836,NA,Achnanthidium.minutissimum,142
llaviucu_diatoms_counts,145,2852,2868,NA,Achnanthidium.minutissimum,76
llaviucu_diatoms_counts,147,2884,2900,NA,Achnanthidium.minutissimum,123
llaviucu_diatoms_counts,150,2931,2946,NA,Achnanthidium.minutissimum,74
llaviucu_diatoms_counts,153,2961,2962,NA,Achnanthidium.minutissimum,136
llaviucu_diatoms_counts,155,2967,2982,NA,Achnanthidium.minutissimum,129
llaviucu_diatoms_counts,157,2997,3000,NA,Achnanthidium.minutissimum,44
llaviucu_diatoms_counts,158,3000,3003,NA,Achnanthidium.minutissimum,150
llaviucu_diatoms_counts,160,3016,3028,NA,Achnanthidium.minutissimum,108
llaviucu_diatoms_counts,162,3036,3045,NA,Achnanthidium.minutissimum,107
llaviucu_diatoms_counts,163,3045,3060,NA,Achnanthidium.minutissimum,137
llaviucu_diatoms_counts,165,3064,3075,NA,Achnanthidium.minutissimum,95
llaviucu_diatoms_counts,167,3083,3096,NA,Achnanthidium.minutissimum,126
llaviucu_diatoms_counts,169,3104,3113,NA,Achnanthidium.minutissimum,111
llaviucu_diatoms_counts,170,3113,3123,NA,Achnanthidium.minutissimum,127
llaviucu_diatoms_counts,173,3140,3151,NA,Achnanthidium.minutissimum,117
llaviucu_diatoms_counts,175,3162,3172,NA,Achnanthidium.minutissimum,150
llaviucu_diatoms_counts,177,3181,3194,NA,Achnanthidium.minutissimum,148
llaviucu_diatoms_counts,178,3194,3208,NA,Achnanthidium.minutissimum,105
llaviucu_diatoms_counts,180,3208,3227,NA,Achnanthidium.minutissimum,169
llaviucu_diatoms_counts,185,3227,3245,NA,Achnanthidium.minutissimum,145
llaviucu_diatoms_counts,2,-59,-55,NA,Achnanthidium.minutissimum.var.scotica,22
llaviucu_diatoms_counts,3,-55,-51,NA,Achnanthidium.minutissimum.var.scotica,10
llaviucu_diatoms_counts,4,-51,-46,NA,Achnanthidium.minutissimum.var.scotica,7
llaviucu_diatoms_counts,5,-46,-42,NA,Achnanthidium.minutissimum.var.scotica,6
llaviucu_diatoms_counts,6,-42,-38,NA,Achnanthidium.minutissimum.var.scotica,12
llaviucu_diatoms_counts,7,-38,-35,NA,Achnanthidium.minutissimum.var.scotica,9
llaviucu_diatoms_counts,8,-35,-31,NA,Achnanthidium.minutissimum.var.scotica,7
llaviucu_diatoms_counts,10,-28,-25,NA,Achnanthidium.minutissimum.var.scotica,4
llaviucu_diatoms_counts,11,-25,-21,NA,Achnanthidium.minutissimum.var.scotica,5
llaviucu_diatoms_counts,12,-21,-15,NA,Achnanthidium.minutissimum.var.scotica,6
llaviucu_diatoms_counts,14,-13,-8,NA,Achnanthidium.minutissimum.var.scotica,1
llaviucu_diatoms_counts,15,-8,-6,NA,Achnanthidium.minutissimum.var.scotica,1
llaviucu_diatoms_counts,16,-6,3,NA,Achnanthidium.minutissimum.var.scotica,1
llaviucu_diatoms_counts,17,3,9,NA,Achnanthidium.minutissimum.var.scotica,1
llaviucu_diatoms_counts,19,11,16,NA,Achnanthidium.minutissimum.var.scotica,5
llaviucu_diatoms_counts,20,16,24,NA,Achnanthidium.minutissimum.var.scotica,4
llaviucu_diatoms_counts,43,144,154,NA,Achnanthidium.minutissimum.var.scotica,1
llaviucu_diatoms_counts,31,93,99,NA,Adlafia.minuscula,1
llaviucu_diatoms_counts,128,2613,2616,NA,Adlafia.minuscula,1
llaviucu_diatoms_counts,140,2776,2793,NA,Adlafia.minuscula,1
llaviucu_diatoms_counts,147,2884,2900,NA,Adlafia.minuscula,1
llaviucu_diatoms_counts,45,166,180,NA,Adlafia.suchlandtii,3
llaviucu_diatoms_counts,83,1430,1458,NA,Adlafia.suchlandtii,17
llaviucu_diatoms_counts,37,115,121,NA,Amphora.ovalis,1
llaviucu_diatoms_counts,38,121,123,NA,Amphora.ovalis,2
llaviucu_diatoms_counts,49,200,218,NA,Amphora.ovalis,2
llaviucu_diatoms_counts,63,540,587,NA,Amphora.ovalis,3
llaviucu_diatoms_counts,64,587,632,NA,Amphora.ovalis,2
llaviucu_diatoms_counts,65,632,681,NA,Amphora.ovalis,1
llaviucu_diatoms_counts,68,787,850,NA,Amphora.ovalis,1
llaviucu_diatoms_counts,73,1038,1097,NA,Amphora.ovalis,1
llaviucu_diatoms_counts,78,1255,1308,NA,Amphora.ovalis,3
llaviucu_diatoms_counts,83,1430,1458,NA,Amphora.ovalis,2
llaviucu_diatoms_counts,85,1505,1550,NA,Amphora.ovalis,2
llaviucu_diatoms_counts,88,1636,1655,NA,Amphora.ovalis,4
llaviucu_diatoms_counts,90,1690,1703,NA,Amphora.ovalis,1
llaviucu_diatoms_counts,91,1703,1742,NA,Amphora.ovalis,13
llaviucu_diatoms_counts,95,1839,1874,NA,Amphora.ovalis,12
llaviucu_diatoms_counts,97,1908,1941,NA,Amphora.ovalis,12
llaviucu_diatoms_counts,101,2035,2052,NA,Amphora.ovalis,3
llaviucu_diatoms_counts,103,2070,2099,NA,Amphora.ovalis,5
llaviucu_diatoms_counts,105,2127,2155,NA,Amphora.ovalis,7
llaviucu_diatoms_counts,110,2260,2285,NA,Amphora.ovalis,5
llaviucu_diatoms_counts,111,2285,2310,NA,Amphora.ovalis,1
llaviucu_diatoms_counts,118,2450,2472,NA,Amphora.ovalis,2
llaviucu_diatoms_counts,121,2509,2531,NA,Amphora.ovalis,2
llaviucu_diatoms_counts,125,2586,2591,NA,Amphora.ovalis,1
llaviucu_diatoms_counts,133,2687,2705,NA,Amphora.ovalis,2
llaviucu_diatoms_counts,135,2707,2717,NA,Amphora.ovalis,1
llaviucu_diatoms_counts,137,2735,2752,NA,Amphora.ovalis,5
llaviucu_diatoms_counts,138,2752,2759,NA,Amphora.ovalis,2
llaviucu_diatoms_counts,143,2820,2836,NA,Amphora.ovalis,1
llaviucu_diatoms_counts,153,2961,2962,NA,Amphora.ovalis,1
llaviucu_diatoms_counts,157,2997,3000,NA,Amphora.ovalis,2
llaviucu_diatoms_counts,158,3000,3003,NA,Amphora.ovalis,1
llaviucu_diatoms_counts,162,3036,3045,NA,Amphora.ovalis,5
llaviucu_diatoms_counts,163,3045,3060,NA,Amphora.ovalis,1
llaviucu_diatoms_counts,169,3104,3113,NA,Amphora.ovalis,3
llaviucu_diatoms_counts,175,3162,3172,NA,Amphora.ovalis,1
llaviucu_diatoms_counts,180,3208,3227,NA,Amphora.ovalis,4
llaviucu_diatoms_counts,57,385,424,NA,Amphora.veneta,1
llaviucu_diatoms_counts,131,2649,2668,NA,Amphora.veneta,1
llaviucu_diatoms_counts,133,2687,2705,NA,Amphora.veneta,1
llaviucu_diatoms_counts,162,3036,3045,NA,Amphora.veneta,1
llaviucu_diatoms_counts,185,3227,3245,NA,Amphora.veneta,2
llaviucu_diatoms_counts,24,46,54,NA,Aulacoseira.alpigena,1
llaviucu_diatoms_counts,27,71,78,NA,Aulacoseira.alpigena,1
llaviucu_diatoms_counts,33,104,110,NA,Aulacoseira.alpigena,10
llaviucu_diatoms_counts,37,115,121,NA,Aulacoseira.alpigena,1
llaviucu_diatoms_counts,41,127,135,NA,Aulacoseira.alpigena,1
llaviucu_diatoms_counts,43,144,154,NA,Aulacoseira.alpigena,5
llaviucu_diatoms_counts,45,166,180,NA,Aulacoseira.alpigena,2
llaviucu_diatoms_counts,47,180,184,NA,Aulacoseira.alpigena,4
llaviucu_diatoms_counts,49,200,218,NA,Aulacoseira.alpigena,5
llaviucu_diatoms_counts,50,218,239,NA,Aulacoseira.alpigena,1
llaviucu_diatoms_counts,52,251,262,NA,Aulacoseira.alpigena,3
llaviucu_diatoms_counts,53,262,288,NA,Aulacoseira.alpigena,4
llaviucu_diatoms_counts,57,385,424,NA,Aulacoseira.alpigena,7
llaviucu_diatoms_counts,59,445,456,NA,Aulacoseira.alpigena,16
llaviucu_diatoms_counts,60,456,501,NA,Aulacoseira.alpigena,14
llaviucu_diatoms_counts,61,501,519,NA,Aulacoseira.alpigena,3
llaviucu_diatoms_counts,64,587,632,NA,Aulacoseira.alpigena,6
llaviucu_diatoms_counts,65,632,681,NA,Aulacoseira.alpigena,1
llaviucu_diatoms_counts,67,724,787,NA,Aulacoseira.alpigena,27
llaviucu_diatoms_counts,73,1038,1097,NA,Aulacoseira.alpigena,7
llaviucu_diatoms_counts,78,1255,1308,NA,Aulacoseira.alpigena,13
llaviucu_diatoms_counts,80,1349,1354,NA,Aulacoseira.alpigena,10
llaviucu_diatoms_counts,83,1430,1458,NA,Aulacoseira.alpigena,15
llaviucu_diatoms_counts,85,1505,1550,NA,Aulacoseira.alpigena,3
llaviucu_diatoms_counts,88,1636,1655,NA,Aulacoseira.alpigena,4
llaviucu_diatoms_counts,90,1690,1703,NA,Aulacoseira.alpigena,5
llaviucu_diatoms_counts,91,1703,1742,NA,Aulacoseira.alpigena,8
